Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::TARGETS::CORNERS,-991.263899252383,9.81249658965976,-1008.94240433411,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,-953.865334453438,9.60960768923725,-993.655304098016,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,-909.046111405999,17.7565635390106,-999.454952232234,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,-875.22879130936,13.7310806920951,-1017.65541327081,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-998.564972990491,8.60567624002644,-1008.46338578638,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-860.853785303388,4.78089355788354,-970.532957772669,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-959.885382392696,0,-968.156908915385,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-924.52158065749,0,-968.156908915385,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-920.658120508839,16.1956583234011,-996.227551081673,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-965.65023125202,1.74488699903729,-985.123934592985,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-960.194697139081,20.2386465048312,-1007.20280206182,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-544.513528006417,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-533.135149274553,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-521.756770542689,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-510.378391810826,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-499.000013078962,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-487.621634347098,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-291.342636108399,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-280.429992675781,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-291.342636108399,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-555.891906738281,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-476.243255615234,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-487.621634347098,0,-302.255279541016,1,0,0,0,1,0
INSTANTIATE::ENVIRONMENT::LAMP,-499.000013078962,0,-302.255279541016,1,0,0,0,1,0
