Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::TARGETS::CORNERS,-900.501815366237,8.90349305772692,-664.212172884034,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,-863.103250567292,8.70060415730442,-648.925072647937,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,-818.284027519853,16.8475600070777,-654.724720782154,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,-784.466707423214,12.8220771601622,-672.925181820727,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-907.802889104345,7.69667270809361,-663.733154336305,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-770.091701417242,3.87189002595071,-625.802726322589,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-869.12329850655,-0.909003531932831,-623.426677465305,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-833.759496771344,-0.909003531932831,-623.426677465305,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-829.896036622693,15.2866547914682,-651.497319631594,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-874.888147365874,0.835883467104456,-640.393703142905,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-869.432613252935,19.3296429728983,-662.472570611742,1,0,0,0,1,0
